fecha	primero	segundo	postre	nota
2026-09-08	Espaguetis integrals amb salsa de tomàquet / al pesto	Croquetes de pollastre / de bacallà amb remolatxa i pastanaga ratllada	Fruita de temporada	
2026-09-09	Arròs del Delta de l'hort (ceba, pebrot i pèsols)	Ventresca de lluç al forn amb rodanxes de carbassó a la planxa	Fruita de temporada	
2026-09-10	Empedrat de mongeta blanca (tomàquet, cogombre i olives)	Truita de formatge i patata amb enciam llarg i raves	Fruita de temporada	
2026-09-11				La Diada
2026-09-14	Crema de verdures temporada	Llenties estofades amb verdures (ceba i pastanaga)	Fruita de temporada	
2026-09-15	Tallarines amb salsa casolana de formatges / sofregit de verdures	Hamburguesa de vedella amb daus de tomàquet amanits	Fruita de temporada	
2026-09-16	Amanida de cigrons (tomàquet, cogombre i olives)	Truita de patata i ceba amb enciam meravella i blat de moro	Sorbet de síndria	
2026-09-17	Arròs integral al forn amb ceba, pebrot i xampinyons	Filet de llúcera al forn amb salsa de tomàquet casolana	Fruita de temporada	
2026-09-18	Amanida de patata (tomàquet, pastanaga i ou dur)	Pollastre arrebossat casolà amb amanida d'espinacs baby i panses	Fruita de temporada	
2026-09-21	Amanida d'espirals de colors (cogombre, olives i blat de moro)	Remenat de carbassó i patata amb col llombarda i pastanaga amanits	Fruita de temporada	
2026-09-22	Arròs del Delta amb salsa casolana de tomàquet	Pernilets de pollastre a les fines herbes amb enciam de tres colors	Fruita de temporada	
2026-09-23	Pèsols amb patata bullida i oli d'oliva	Peix fogoner al forn amb canonges, raves i pipes	Fruita de temporada	
2026-09-24				La Mercè
2026-09-25	Crema de pastanaga	Cigrons estofats amb verdures (ceba i pebrot)	Fruita de temporada	
2026-09-28	Espirals amb pesto casolà d'alfàbrega / salsa casolana de tomàquet	Remenat de xampinyons i patata amb enciam, olives i vinagreta	Fruita de temporada	
2026-09-29	Vichyssoise	Llenties saltades amb albergínia i ceba	Fruita de temporada	
2026-09-30	Arròs integral tres delícies (pastanaga, blat de moro i pèsols)	Daus de gall dindi marinats amb tomàquet amanit i orenga	Iogurt natural de proximitat	
